Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,778706,-,-,-,35.38,-119.01,-8,128,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,0,8,1.02,0.079,0.64,0,0,0,0,8,2.4000000000000004,0,0,0,0,0.311,67.9,167.65,0.9,0.15,1003,1.4000000000000001,118,1.3
2020,1,1,0,10,8.200000000000001,1.02,0.079,0.64,0,0,0,0,7,2.4000000000000004,0,0,0,0,0.311,66.98,167.44,0.9,0.15,1003,1.4000000000000001,114,1.2000000000000002
2020,1,1,0,20,8.5,1.02,0.079,0.64,0,0,0,0,8,2.4000000000000004,0,0,0,0,0.311,65.64,166.86,0.9,0.15,1003,1.4000000000000001,110,1.2000000000000002
2020,1,1,0,30,8.700000000000001,1.02,0.079,0.64,0,0,0,0,1,2.4000000000000004,0,0,0,0,0.31,64.76,165.96,0.9,0.15,1003,1.4000000000000001,106,1.1
2020,1,1,0,40,9,1.03,0.085,0.64,0,0,0,0,1,1.6,0,0,0,0,0.31,59.68,164.81,0.9,0.15,1004,1.4000000000000001,102,1
2020,1,1,0,50,9.200000000000001,1.03,0.085,0.64,0,0,0,0,0,1.6,0,0,0,0,0.31,58.89,163.45000000000002,0.9,0.15,1004,1.4000000000000001,98,1
2020,1,1,1,0,9.5,1.03,0.085,0.64,0,0,0,0,1,1.6,0,0,0,0,0.309,57.71,161.93,0.9,0.15,1004,1.4000000000000001,94,0.9
2020,1,1,1,10,9.600000000000001,1.03,0.085,0.64,0,0,0,0,8,1.6,0,0,0,0,0.309,57.33,160.3,0.9,0.15,1004,1.4000000000000001,80,0.9
2020,1,1,1,20,9.700000000000001,1.03,0.085,0.64,0,0,0,0,8,1.6,0,0,0,0,0.309,56.94,158.56,0.9,0.15,1004,1.4000000000000001,66,0.8
2020,1,1,1,30,9.8,1.03,0.085,0.64,0,0,0,0,0,1.6,0,0,0,0,0.308,56.57,156.76,0.9,0.15,1004,1.4000000000000001,52,0.8
2020,1,1,1,40,9.9,1.04,0.088,0.64,0,0,0,0,0,1.5,0,0,0,0,0.308,56.06,154.9,0.9,0.15,1004,1.4000000000000001,38,0.8
2020,1,1,1,50,10,1.04,0.088,0.64,0,0,0,0,4,1.5,0,0,0,0,0.307,55.69,153,0.9,0.15,1004,1.4000000000000001,24,0.8
2020,1,1,2,0,10.100000000000001,1.04,0.088,0.64,0,0,0,0,7,1.5,0,0,0,0,0.307,55.32,151.07,0.9,0.15,1004,1.4000000000000001,10,0.7000000000000001
2020,1,1,2,10,9.9,1.04,0.088,0.64,0,0,0,0,7,1.5,0,0,0,0,0.307,56.06,149.11,0.9,0.15,1004,1.4000000000000001,67,0.7000000000000001
2020,1,1,2,20,9.700000000000001,1.04,0.088,0.64,0,0,0,0,7,1.5,0,0,0,0,0.306,56.82,147.13,0.9,0.15,1004,1.4000000000000001,124,0.8
2020,1,1,2,30,9.5,1.04,0.088,0.64,0,0,0,0,7,1.5,0,0,0,0,0.306,57.58,145.13,0.9,0.15,1004,1.4000000000000001,181,0.8
2020,1,1,2,40,9.200000000000001,1.03,0.089,0.64,0,0,0,0,7,2.3000000000000003,0,0,0,0,0.305,61.9,143.12,0.9,0.15,1004,1.4000000000000001,238,0.8
2020,1,1,2,50,9,1.03,0.089,0.64,0,0,0,0,7,2.3000000000000003,0,0,0,0,0.305,62.74,141.1,0.9,0.15,1004,1.4000000000000001,294,0.8
2020,1,1,3,0,8.8,1.03,0.089,0.64,0,0,0,0,7,2.3000000000000003,0,0,0,0,0.305,63.59,139.07,0.9,0.15,1004,1.4000000000000001,351,0.8
2020,1,1,3,10,8.700000000000001,1.03,0.089,0.64,0,0,0,0,7,2.3000000000000003,0,0,0,0,0.304,64.02,137.04,0.91,0.15,1004,1.4000000000000001,293,0.8
2020,1,1,3,20,8.700000000000001,1.03,0.089,0.64,0,0,0,0,4,2.3000000000000003,0,0,0,0,0.304,64.02,135,0.91,0.15,1004,1.4000000000000001,234,0.8
2020,1,1,3,30,8.6,1.03,0.089,0.64,0,0,0,0,0,2.3000000000000003,0,0,0,0,0.303,64.46000000000001,132.97,0.91,0.15,1004,1.5,176,0.8
2020,1,1,3,40,8.5,1.03,0.093,0.64,0,0,0,0,1,3.3000000000000003,0,0,0,0,0.303,70.03,130.93,0.91,0.15,1004,1.5,118,0.8
2020,1,1,3,50,8.4,1.03,0.093,0.64,0,0,0,0,0,3.3000000000000003,0,0,0,0,0.303,70.5,128.89000000000001,0.91,0.15,1004,1.5,59,0.7000000000000001
2020,1,1,4,0,8.4,1.03,0.093,0.64,0,0,0,0,0,3.3000000000000003,0,0,0,0,0.302,70.5,126.86,0.91,0.15,1004,1.5,1,0.7000000000000001
2020,1,1,4,10,8.4,1.03,0.093,0.64,0,0,0,0,0,3.3000000000000003,0,0,0,0,0.302,70.5,124.83,0.91,0.15,1004,1.5,10,0.7000000000000001
