begin_time,flow
2020-01-01 00:00:00,18200
2020-01-01 00:15:00,17900
2020-01-01 00:30:00,18100
2020-01-01 00:45:00,17900
2020-01-01 01:00:00,18500
2020-01-01 01:15:00,18500
2020-01-01 01:30:00,18700
2020-01-01 01:45:00,18600
2020-01-01 02:00:00,19100
2020-01-01 02:15:00,18900
2020-01-01 02:30:00,19100
2020-01-01 02:45:00,18700
2020-01-01 03:00:00,19000
2020-01-01 03:15:00,19200
2020-01-01 03:30:00,19400
2020-01-01 03:45:00,19400
2020-01-01 04:00:00,19100
2020-01-01 04:15:00,19100
2020-01-01 04:30:00,19300
2020-01-01 04:45:00,19200
2020-01-01 05:00:00,19300
2020-01-01 05:15:00,19200
2020-01-01 05:30:00,19000
2020-01-01 05:45:00,18700
2020-01-01 06:00:00,18500
2020-01-01 06:15:00,18400
2020-01-01 06:30:00,17900
2020-01-01 06:45:00,17700
2020-01-01 07:00:00,17600
2020-01-01 07:15:00,17500
2020-01-01 07:30:00,16700
2020-01-01 07:45:00,16400
2020-01-01 08:00:00,16000
2020-01-01 08:15:00,15900
2020-01-01 08:30:00,15200
2020-01-01 08:45:00,15000
2020-01-01 09:00:00,14500
2020-01-01 09:15:00,14200
2020-01-01 09:30:00,14100
2020-01-01 09:45:00,13600
2020-01-01 10:00:00,13400
2020-01-01 10:15:00,13000
2020-01-01 10:30:00,13100
2020-01-01 10:45:00,13100
2020-01-01 11:00:00,13400
2020-01-01 11:15:00,13400
2020-01-01 11:30:00,13300
2020-01-01 11:45:00,14000
2020-01-01 12:00:00,14300
2020-01-01 12:15:00,14900
2020-01-01 12:30:00,15300
2020-01-01 12:45:00,15700
2020-01-01 13:00:00,15800
2020-01-01 13:15:00,16100
2020-01-01 13:30:00,16400
2020-01-01 13:45:00,16700
2020-01-01 14:00:00,16700
2020-01-01 14:15:00,16600
2020-01-01 14:30:00,16900
2020-01-01 14:45:00,16900
2020-01-01 15:00:00,16800
2020-01-01 15:15:00,17200
2020-01-01 15:30:00,17200
2020-01-01 15:45:00,17200
2020-01-01 16:00:00,17600
2020-01-01 16:15:00,17400
2020-01-01 16:30:00,17800
2020-01-01 16:45:00,17600
2020-01-01 17:00:00,17500
2020-01-01 17:15:00,17500
2020-01-01 17:30:00,17800
2020-01-01 17:45:00,17400
2020-01-01 18:00:00,17400
2020-01-01 18:15:00,17200
2020-01-01 18:30:00,17000
2020-01-01 18:45:00,16700
2020-01-01 19:00:00,16700
2020-01-01 19:15:00,16300
2020-01-01 19:30:00,16000
2020-01-01 19:45:00,15700
2020-01-01 20:00:00,15100
2020-01-01 20:15:00,14900
2020-01-01 20:30:00,14900
2020-01-01 20:45:00,14800
2020-01-01 21:00:00,14800
2020-01-01 21:15:00,14700
2020-01-01 21:30:00,14500
2020-01-01 21:45:00,14600
2020-01-01 22:00:00,14900
2020-01-01 22:15:00,14800
2020-01-01 22:30:00,15100
2020-01-01 22:45:00,15100
2020-01-01 23:00:00,15200
2020-01-01 23:15:00,15700
2020-01-01 23:30:00,15800
2020-01-01 23:45:00,16500
2020-01-02 00:00:00,16300
2020-01-02 00:15:00,16700
2020-01-02 00:30:00,16300
2020-01-02 00:45:00,16800
2020-01-02 01:00:00,17000
2020-01-02 01:15:00,17100
2020-01-02 01:30:00,17400
2020-01-02 01:45:00,17700
2020-01-02 02:00:00,17500
2020-01-02 02:15:00,17600
2020-01-02 02:30:00,17700
2020-01-02 02:45:00,17900
2020-01-02 03:00:00,17900
2020-01-02 03:15:00,18300
2020-01-02 03:30:00,18200
2020-01-02 03:45:00,18300
2020-01-02 04:00:00,18200
2020-01-02 04:15:00,18300
2020-01-02 04:30:00,18400
2020-01-02 04:45:00,18400
2020-01-02 05:00:00,18300
2020-01-02 05:15:00,18300
2020-01-02 05:30:00,18300
2020-01-02 05:45:00,18300
2020-01-02 06:00:00,18300
2020-01-02 06:15:00,18100
2020-01-02 06:30:00,18000
2020-01-02 06:45:00,17600
2020-01-02 07:00:00,17400
2020-01-02 07:15:00,17200
2020-01-02 07:30:00,16700
2020-01-02 07:45:00,16500
2020-01-02 08:00:00,16400
2020-01-02 08:15:00,15700
2020-01-02 08:30:00,15200
2020-01-02 08:45:00,14500
2020-01-02 09:00:00,14000
2020-01-02 09:15:00,13500
2020-01-02 09:30:00,13200
2020-01-02 09:45:00,13000
2020-01-02 10:00:00,12800
2020-01-02 10:15:00,12400
2020-01-02 10:30:00,12000
2020-01-02 10:45:00,11900
2020-01-02 11:00:00,11800
2020-01-02 11:15:00,11700
2020-01-02 11:30:00,12100
2020-01-02 11:45:00,12000
2020-01-02 12:00:00,12300
2020-01-02 12:15:00,13100
2020-01-02 12:30:00,13300
2020-01-02 12:45:00,13700
2020-01-02 13:00:00,13900
2020-01-02 13:15:00,14400
2020-01-02 13:30:00,14900
2020-01-02 13:45:00,15100
2020-01-02 14:00:00,15500
2020-01-02 14:15:00,15800
2020-01-02 14:30:00,16000
2020-01-02 14:45:00,16000
2020-01-02 15:00:00,16300
2020-01-02 15:15:00,16700
2020-01-02 15:30:00,16800
2020-01-02 15:45:00,17100
2020-01-02 16:00:00,17000
2020-01-02 16:15:00,17300
2020-01-02 16:30:00,17100
2020-01-02 16:45:00,17300
2020-01-02 17:00:00,17400
2020-01-02 17:15:00,17600
2020-01-02 17:30:00,17500
2020-01-02 17:45:00,17600
2020-01-02 18:00:00,17700
2020-01-02 18:15:00,17600
2020-01-02 18:30:00,17900
2020-01-02 18:45:00,17400
2020-01-02 19:00:00,17600
2020-01-02 19:15:00,17600
2020-01-02 19:30:00,17400
2020-01-02 19:45:00,17300
2020-01-02 20:00:00,17100
2020-01-02 20:15:00,16700
2020-01-02 20:30:00,16700
2020-01-02 20:45:00,16500
2020-01-02 21:00:00,16100
2020-01-02 21:15:00,16000
2020-01-02 21:30:00,15700
2020-01-02 21:45:00,15500
2020-01-02 22:00:00,15500
2020-01-02 22:15:00,15100
2020-01-02 22:30:00,15100
2020-01-02 22:45:00,15100
2020-01-02 23:00:00,15400
2020-01-02 23:15:00,15500
2020-01-02 23:30:00,15500
2020-01-02 23:45:00,15400
2020-01-03 00:00:00,15700
2020-01-03 00:15:00,15700
2020-01-03 00:30:00,15700
2020-01-03 00:45:00,15900
2020-01-03 01:00:00,16100
2020-01-03 01:15:00,16100
2020-01-03 01:30:00,16400
2020-01-03 01:45:00,16600
2020-01-03 02:00:00,16800
2020-01-03 02:15:00,16900
2020-01-03 02:30:00,17000
2020-01-03 02:45:00,17000
2020-01-03 03:00:00,17400
2020-01-03 03:15:00,17500
2020-01-03 03:30:00,17000
2020-01-03 03:45:00,17600
2020-01-03 04:00:00,17500
2020-01-03 04:15:00,17300
2020-01-03 04:30:00,17500
2020-01-03 04:45:00,17500
2020-01-03 05:00:00,17700
2020-01-03 05:15:00,17800
2020-01-03 05:30:00,17700
2020-01-03 05:45:00,18000
2020-01-03 06:00:00,17600
2020-01-03 06:15:00,17600
2020-01-03 06:30:00,17600
2020-01-03 06:45:00,17400
2020-01-03 07:00:00,17300
2020-01-03 07:15:00,17000
2020-01-03 07:30:00,16600
2020-01-03 07:45:00,16300
2020-01-03 08:00:00,16300
2020-01-03 08:15:00,15500
2020-01-03 08:30:00,15300
2020-01-03 08:45:00,14600
2020-01-03 09:00:00,14100
2020-01-03 09:15:00,13400
2020-01-03 09:30:00,12900
2020-01-03 09:45:00,12300
2020-01-03 10:00:00,12200
2020-01-03 10:15:00,11700
2020-01-03 10:30:00,11400
2020-01-03 10:45:00,11200
2020-01-03 11:00:00,10900
2020-01-03 11:15:00,11000
2020-01-03 11:30:00,11200
2020-01-03 11:45:00,11000
2020-01-03 12:00:00,11200
2020-01-03 12:15:00,11300
2020-01-03 12:30:00,11700
2020-01-03 12:45:00,12200
2020-01-03 13:00:00,12700
2020-01-03 13:15:00,13200
2020-01-03 13:30:00,13900
2020-01-03 13:45:00,14300
2020-01-03 14:00:00,14600
2020-01-03 14:15:00,14900
2020-01-03 14:30:00,15100
2020-01-03 14:45:00,15500
2020-01-03 15:00:00,15700
2020-01-03 15:15:00,15900
2020-01-03 15:30:00,15900
2020-01-03 15:45:00,16700
2020-01-03 16:00:00,16800
2020-01-03 16:15:00,16900
2020-01-03 16:30:00,16900
2020-01-03 16:45:00,16900
2020-01-03 17:00:00,17000
2020-01-03 17:15:00,17100
2020-01-03 17:30:00,17100
2020-01-03 17:45:00,17200
2020-01-03 18:00:00,17400
2020-01-03 18:15:00,17100
