UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP15 Solar Generation (MW),SP15 Solar Generation (MW),ZP26 Solar Generation (MW),NP15 Wind Generation (MW),SP15 Wind Generation (MW),year,ZP26 Wind Generation (MW)
2020-11-01 08:00:00,2020-11-01 00:00:00,2020-11-01 01:00:00,2020-11-01,1,-3.87923,-24.1592,-5.69061,2.11481,148.23401,2020,
2020-11-01 09:00:00,2020-11-01 01:00:00,2020-11-01 01:00:00,2020-11-01,2,0.0,9.0,0.0,4.0,77.5,2020,
2020-11-01 10:00:00,2020-11-01 01:00:00,2020-11-01 02:00:00,2020-11-01,3,0.0,4.0,0.0,0.0,1.0,2020,
2020-11-01 11:00:00,2020-11-01 02:00:00,2020-11-01 03:00:00,2020-11-01,4,-3.8896,-26.22737,-5.65137,2.14548,203.61622,2020,
2020-11-01 12:00:00,2020-11-01 03:00:00,2020-11-01 04:00:00,2020-11-01,5,-3.87952,-26.84967,-5.68513,-0.50054,197.33662,2020,
2020-11-01 13:00:00,2020-11-01 04:00:00,2020-11-01 05:00:00,2020-11-01,6,-3.87537,-27.47235,-5.66896,-1.46939,231.41018,2020,
2020-11-01 14:00:00,2020-11-01 05:00:00,2020-11-01 06:00:00,2020-11-01,7,-3.91806,-30.46502,-5.89782,3.35251,266.22672,2020,
2020-11-01 15:00:00,2020-11-01 06:00:00,2020-11-01 07:00:00,2020-11-01,8,8.87756,325.31904,21.56394,5.69853,295.25886,2020,
2020-11-01 16:00:00,2020-11-01 07:00:00,2020-11-01 08:00:00,2020-11-01,9,317.52076,2759.73899,444.43974,6.8121,270.44353,2020,
2020-11-01 17:00:00,2020-11-01 08:00:00,2020-11-01 09:00:00,2020-11-01,10,811.65697,4223.88008,1057.49648,5.98088,276.25493,2020,
2020-11-01 18:00:00,2020-11-01 09:00:00,2020-11-01 10:00:00,2020-11-01,11,898.06884,4511.29249,1204.84759,3.68365,283.93237,2020,
2020-11-01 19:00:00,2020-11-01 10:00:00,2020-11-01 11:00:00,2020-11-01,12,879.3747,4531.70202,1277.79077,2.62315,294.36835,2020,
2020-11-01 20:00:00,2020-11-01 11:00:00,2020-11-01 12:00:00,2020-11-01,13,807.31832,4877.36523,1238.21185,2.57811,327.86708,2020,
2020-11-01 21:00:00,2020-11-01 12:00:00,2020-11-01 13:00:00,2020-11-01,14,869.11136,5582.21755,1217.22592,10.68665,444.75537,2020,
2020-11-01 22:00:00,2020-11-01 13:00:00,2020-11-01 14:00:00,2020-11-01,15,863.44466,5333.17815,1154.30982,9.21019,466.45901,2020,
2020-11-01 23:00:00,2020-11-01 14:00:00,2020-11-01 15:00:00,2020-11-01,16,900.2684,4106.83323,1010.44679,1.30349,371.46096,2020,
2020-11-02 00:00:00,2020-11-01 15:00:00,2020-11-01 16:00:00,2020-11-01,17,628.17443,2273.82683,635.91611,-2.632,243.81518,2020,
2020-11-02 01:00:00,2020-11-01 16:00:00,2020-11-01 17:00:00,2020-11-01,18,135.34035,343.54924,154.89379,2.21625,174.82694,2020,
2020-11-02 02:00:00,2020-11-01 17:00:00,2020-11-01 18:00:00,2020-11-01,19,-3.63514,-26.34423,-6.29865,-3.518,171.93691,2020,
2020-11-02 03:00:00,2020-11-01 18:00:00,2020-11-01 19:00:00,2020-11-01,20,-3.85604,-25.24305,-5.6969,-3.00559,140.63157,2020,
2020-11-02 04:00:00,2020-11-01 19:00:00,2020-11-01 20:00:00,2020-11-01,21,-3.87031,-25.18677,-5.71439,-1.30578,158.63214,2020,
2020-11-02 05:00:00,2020-11-01 20:00:00,2020-11-01 21:00:00,2020-11-01,22,-3.86544,-24.87574,-5.71941,-4.18978,174.23385,2020,
2020-11-02 06:00:00,2020-11-01 21:00:00,2020-11-01 22:00:00,2020-11-01,23,-3.85991,-24.94843,-5.7013,-5.79253,170.6006,2020,
2020-11-02 07:00:00,2020-11-01 22:00:00,2020-11-01 23:00:00,2020-11-01,24,-3.86484,-25.15992,-5.686,-6.08255,162.16183,2020,
2020-11-02 09:00:00,2020-11-02 00:00:00,2020-11-02 01:00:00,2020-11-02,1,-3.87152,-24.85019,-5.71158,-1.51082,115.69121,2020,
2020-11-02 10:00:00,2020-11-02 01:00:00,2020-11-02 02:00:00,2020-11-02,2,-3.8494,-24.74522,-5.61042,4.42225,109.8521,2020,
2020-11-02 11:00:00,2020-11-02 02:00:00,2020-11-02 03:00:00,2020-11-02,3,-3.84494,-25.95838,-5.61152,0.2604,109.56855,2020,
2020-11-02 12:00:00,2020-11-02 03:00:00,2020-11-02 04:00:00,2020-11-02,4,-3.83304,-27.59141,-5.61567,-5.00308,126.09922,2020,
2020-11-02 13:00:00,2020-11-02 04:00:00,2020-11-02 05:00:00,2020-11-02,5,-3.83913,-39.48365,-5.609,5.10684,143.53631,2020,
2020-11-02 14:00:00,2020-11-02 05:00:00,2020-11-02 06:00:00,2020-11-02,6,-3.77107,-31.09739,-5.69972,13.90212,130.2024,2020,
2020-11-02 15:00:00,2020-11-02 06:00:00,2020-11-02 07:00:00,2020-11-02,7,8.01013,325.06879,11.36517,18.31767,112.87494,2020,
2020-11-02 16:00:00,2020-11-02 07:00:00,2020-11-02 08:00:00,2020-11-02,8,277.03657,2785.59328,335.99058,17.38988,106.60397,2020,
2020-11-02 17:00:00,2020-11-02 08:00:00,2020-11-02 09:00:00,2020-11-02,9,708.15809,5252.57229,704.39994,11.64311,114.76132,2020,
2020-11-02 18:00:00,2020-11-02 09:00:00,2020-11-02 10:00:00,2020-11-02,10,800.59919,5877.43632,919.58157,-2.16699,152.41154,2020,
2020-11-02 19:00:00,2020-11-02 10:00:00,2020-11-02 11:00:00,2020-11-02,11,818.24282,6068.76421,1086.55999,-3.16441,213.14934,2020,
2020-11-02 20:00:00,2020-11-02 11:00:00,2020-11-02 12:00:00,2020-11-02,12,791.62024,6048.0852,1192.11047,-3.69651,221.90254,2020,
2020-11-02 21:00:00,2020-11-02 12:00:00,2020-11-02 13:00:00,2020-11-02,13,819.92667,6173.69815,1186.25372,-4.35346,196.29968,2020,
2020-11-02 22:00:00,2020-11-02 13:00:00,2020-11-02 14:00:00,2020-11-02,14,811.38121,5904.5924,1118.04939,-5.16859,124.94147,2020,
