interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2018-04-10T00:00:00-07:00,2018-04-10 07:00:00+00:00,2018-04-10T00:05:00-07:00,2018-04-10 07:05:00+00:00,22459
2018-04-10T00:05:00-07:00,2018-04-10 07:05:00+00:00,2018-04-10T00:10:00-07:00,2018-04-10 07:10:00+00:00,22371
2018-04-10T00:10:00-07:00,2018-04-10 07:10:00+00:00,2018-04-10T00:15:00-07:00,2018-04-10 07:15:00+00:00,22330
2018-04-10T00:15:00-07:00,2018-04-10 07:15:00+00:00,2018-04-10T00:20:00-07:00,2018-04-10 07:20:00+00:00,22082
2018-04-10T00:20:00-07:00,2018-04-10 07:20:00+00:00,2018-04-10T00:25:00-07:00,2018-04-10 07:25:00+00:00,21978
2018-04-10T00:25:00-07:00,2018-04-10 07:25:00+00:00,2018-04-10T00:30:00-07:00,2018-04-10 07:30:00+00:00,21844
2018-04-10T00:30:00-07:00,2018-04-10 07:30:00+00:00,2018-04-10T00:35:00-07:00,2018-04-10 07:35:00+00:00,21762
2018-04-10T00:35:00-07:00,2018-04-10 07:35:00+00:00,2018-04-10T00:40:00-07:00,2018-04-10 07:40:00+00:00,21634
2018-04-10T00:40:00-07:00,2018-04-10 07:40:00+00:00,2018-04-10T00:45:00-07:00,2018-04-10 07:45:00+00:00,21518
2018-04-10T00:45:00-07:00,2018-04-10 07:45:00+00:00,2018-04-10T00:50:00-07:00,2018-04-10 07:50:00+00:00,21454
2018-04-10T00:50:00-07:00,2018-04-10 07:50:00+00:00,2018-04-10T00:55:00-07:00,2018-04-10 07:55:00+00:00,21365
2018-04-10T00:55:00-07:00,2018-04-10 07:55:00+00:00,2018-04-10T01:00:00-07:00,2018-04-10 08:00:00+00:00,21276
2018-04-10T01:00:00-07:00,2018-04-10 08:00:00+00:00,2018-04-10T01:05:00-07:00,2018-04-10 08:05:00+00:00,21196
2018-04-10T01:05:00-07:00,2018-04-10 08:05:00+00:00,2018-04-10T01:10:00-07:00,2018-04-10 08:10:00+00:00,21122
2018-04-10T01:10:00-07:00,2018-04-10 08:10:00+00:00,2018-04-10T01:15:00-07:00,2018-04-10 08:15:00+00:00,21090
2018-04-10T01:15:00-07:00,2018-04-10 08:15:00+00:00,2018-04-10T01:20:00-07:00,2018-04-10 08:20:00+00:00,20986
2018-04-10T01:20:00-07:00,2018-04-10 08:20:00+00:00,2018-04-10T01:25:00-07:00,2018-04-10 08:25:00+00:00,20892
2018-04-10T01:25:00-07:00,2018-04-10 08:25:00+00:00,2018-04-10T01:30:00-07:00,2018-04-10 08:30:00+00:00,20804
2018-04-10T01:30:00-07:00,2018-04-10 08:30:00+00:00,2018-04-10T01:35:00-07:00,2018-04-10 08:35:00+00:00,20709
2018-04-10T01:35:00-07:00,2018-04-10 08:35:00+00:00,2018-04-10T01:40:00-07:00,2018-04-10 08:40:00+00:00,20667
2018-04-10T01:40:00-07:00,2018-04-10 08:40:00+00:00,2018-04-10T01:45:00-07:00,2018-04-10 08:45:00+00:00,20584
2018-04-10T01:45:00-07:00,2018-04-10 08:45:00+00:00,2018-04-10T01:50:00-07:00,2018-04-10 08:50:00+00:00,20561
2018-04-10T01:50:00-07:00,2018-04-10 08:50:00+00:00,2018-04-10T01:55:00-07:00,2018-04-10 08:55:00+00:00,20495
2018-04-10T01:55:00-07:00,2018-04-10 08:55:00+00:00,2018-04-10T02:00:00-07:00,2018-04-10 09:00:00+00:00,20436
2018-04-10T02:00:00-07:00,2018-04-10 09:00:00+00:00,2018-04-10T02:05:00-07:00,2018-04-10 09:05:00+00:00,20375
2018-04-10T02:05:00-07:00,2018-04-10 09:05:00+00:00,2018-04-10T02:10:00-07:00,2018-04-10 09:10:00+00:00,20322
2018-04-10T02:10:00-07:00,2018-04-10 09:10:00+00:00,2018-04-10T02:15:00-07:00,2018-04-10 09:15:00+00:00,20258
2018-04-10T02:15:00-07:00,2018-04-10 09:15:00+00:00,2018-04-10T02:20:00-07:00,2018-04-10 09:20:00+00:00,20231
2018-04-10T02:20:00-07:00,2018-04-10 09:20:00+00:00,2018-04-10T02:25:00-07:00,2018-04-10 09:25:00+00:00,20199
2018-04-10T02:25:00-07:00,2018-04-10 09:25:00+00:00,2018-04-10T02:30:00-07:00,2018-04-10 09:30:00+00:00,20179
2018-04-10T02:30:00-07:00,2018-04-10 09:30:00+00:00,2018-04-10T02:35:00-07:00,2018-04-10 09:35:00+00:00,20134
2018-04-10T02:35:00-07:00,2018-04-10 09:35:00+00:00,2018-04-10T02:40:00-07:00,2018-04-10 09:40:00+00:00,20062
2018-04-10T02:40:00-07:00,2018-04-10 09:40:00+00:00,2018-04-10T02:45:00-07:00,2018-04-10 09:45:00+00:00,20051
2018-04-10T02:45:00-07:00,2018-04-10 09:45:00+00:00,2018-04-10T02:50:00-07:00,2018-04-10 09:50:00+00:00,20035
2018-04-10T02:50:00-07:00,2018-04-10 09:50:00+00:00,2018-04-10T02:55:00-07:00,2018-04-10 09:55:00+00:00,19986
2018-04-10T02:55:00-07:00,2018-04-10 09:55:00+00:00,2018-04-10T03:00:00-07:00,2018-04-10 10:00:00+00:00,19968
2018-04-10T03:00:00-07:00,2018-04-10 10:00:00+00:00,2018-04-10T03:05:00-07:00,2018-04-10 10:05:00+00:00,19941
2018-04-10T03:05:00-07:00,2018-04-10 10:05:00+00:00,2018-04-10T03:10:00-07:00,2018-04-10 10:10:00+00:00,19887
2018-04-10T03:10:00-07:00,2018-04-10 10:10:00+00:00,2018-04-10T03:15:00-07:00,2018-04-10 10:15:00+00:00,19900
2018-04-10T03:15:00-07:00,2018-04-10 10:15:00+00:00,2018-04-10T03:20:00-07:00,2018-04-10 10:20:00+00:00,19875
2018-04-10T03:20:00-07:00,2018-04-10 10:20:00+00:00,2018-04-10T03:25:00-07:00,2018-04-10 10:25:00+00:00,19878
2018-04-10T03:25:00-07:00,2018-04-10 10:25:00+00:00,2018-04-10T03:30:00-07:00,2018-04-10 10:30:00+00:00,19845
2018-04-10T03:30:00-07:00,2018-04-10 10:30:00+00:00,2018-04-10T03:35:00-07:00,2018-04-10 10:35:00+00:00,19818
2018-04-10T03:35:00-07:00,2018-04-10 10:35:00+00:00,2018-04-10T03:40:00-07:00,2018-04-10 10:40:00+00:00,19822
2018-04-10T03:40:00-07:00,2018-04-10 10:40:00+00:00,2018-04-10T03:45:00-07:00,2018-04-10 10:45:00+00:00,19790
2018-04-10T03:45:00-07:00,2018-04-10 10:45:00+00:00,2018-04-10T03:50:00-07:00,2018-04-10 10:50:00+00:00,19826
2018-04-10T03:50:00-07:00,2018-04-10 10:50:00+00:00,2018-04-10T03:55:00-07:00,2018-04-10 10:55:00+00:00,19828
2018-04-10T03:55:00-07:00,2018-04-10 10:55:00+00:00,2018-04-10T04:00:00-07:00,2018-04-10 11:00:00+00:00,19831
2018-04-10T04:00:00-07:00,2018-04-10 11:00:00+00:00,2018-04-10T04:05:00-07:00,2018-04-10 11:05:00+00:00,19861
2018-04-10T04:05:00-07:00,2018-04-10 11:05:00+00:00,2018-04-10T04:10:00-07:00,2018-04-10 11:10:00+00:00,19913
2018-04-10T04:10:00-07:00,2018-04-10 11:10:00+00:00,2018-04-10T04:15:00-07:00,2018-04-10 11:15:00+00:00,20011
2018-04-10T04:15:00-07:00,2018-04-10 11:15:00+00:00,2018-04-10T04:20:00-07:00,2018-04-10 11:20:00+00:00,20050
2018-04-10T04:20:00-07:00,2018-04-10 11:20:00+00:00,2018-04-10T04:25:00-07:00,2018-04-10 11:25:00+00:00,20073
2018-04-10T04:25:00-07:00,2018-04-10 11:25:00+00:00,2018-04-10T04:30:00-07:00,2018-04-10 11:30:00+00:00,20073
2018-04-10T04:30:00-07:00,2018-04-10 11:30:00+00:00,2018-04-10T04:35:00-07:00,2018-04-10 11:35:00+00:00,20094
2018-04-10T04:35:00-07:00,2018-04-10 11:35:00+00:00,2018-04-10T04:40:00-07:00,2018-04-10 11:40:00+00:00,20155
2018-04-10T04:40:00-07:00,2018-04-10 11:40:00+00:00,2018-04-10T04:45:00-07:00,2018-04-10 11:45:00+00:00,20221
2018-04-10T04:45:00-07:00,2018-04-10 11:45:00+00:00,2018-04-10T04:50:00-07:00,2018-04-10 11:50:00+00:00,20251
2018-04-10T04:50:00-07:00,2018-04-10 11:50:00+00:00,2018-04-10T04:55:00-07:00,2018-04-10 11:55:00+00:00,20310
2018-04-10T04:55:00-07:00,2018-04-10 11:55:00+00:00,2018-04-10T05:00:00-07:00,2018-04-10 12:00:00+00:00,20362
2018-04-10T05:00:00-07:00,2018-04-10 12:00:00+00:00,2018-04-10T05:05:00-07:00,2018-04-10 12:05:00+00:00,20462
2018-04-10T05:05:00-07:00,2018-04-10 12:05:00+00:00,2018-04-10T05:10:00-07:00,2018-04-10 12:10:00+00:00,20648
2018-04-10T05:10:00-07:00,2018-04-10 12:10:00+00:00,2018-04-10T05:15:00-07:00,2018-04-10 12:15:00+00:00,20839
2018-04-10T05:15:00-07:00,2018-04-10 12:15:00+00:00,2018-04-10T05:20:00-07:00,2018-04-10 12:20:00+00:00,20966
2018-04-10T05:20:00-07:00,2018-04-10 12:20:00+00:00,2018-04-10T05:25:00-07:00,2018-04-10 12:25:00+00:00,21086
2018-04-10T05:25:00-07:00,2018-04-10 12:25:00+00:00,2018-04-10T05:30:00-07:00,2018-04-10 12:30:00+00:00,21182
2018-04-10T05:30:00-07:00,2018-04-10 12:30:00+00:00,2018-04-10T05:35:00-07:00,2018-04-10 12:35:00+00:00,21279
2018-04-10T05:35:00-07:00,2018-04-10 12:35:00+00:00,2018-04-10T05:40:00-07:00,2018-04-10 12:40:00+00:00,21436
2018-04-10T05:40:00-07:00,2018-04-10 12:40:00+00:00,2018-04-10T05:45:00-07:00,2018-04-10 12:45:00+00:00,21598
2018-04-10T05:45:00-07:00,2018-04-10 12:45:00+00:00,2018-04-10T05:50:00-07:00,2018-04-10 12:50:00+00:00,21724
2018-04-10T05:50:00-07:00,2018-04-10 12:50:00+00:00,2018-04-10T05:55:00-07:00,2018-04-10 12:55:00+00:00,21832
2018-04-10T05:55:00-07:00,2018-04-10 12:55:00+00:00,2018-04-10T06:00:00-07:00,2018-04-10 13:00:00+00:00,22006
2018-04-10T06:00:00-07:00,2018-04-10 13:00:00+00:00,2018-04-10T06:05:00-07:00,2018-04-10 13:05:00+00:00,22155
2018-04-10T06:05:00-07:00,2018-04-10 13:05:00+00:00,2018-04-10T06:10:00-07:00,2018-04-10 13:10:00+00:00,22490
2018-04-10T06:10:00-07:00,2018-04-10 13:10:00+00:00,2018-04-10T06:15:00-07:00,2018-04-10 13:15:00+00:00,22854
2018-04-10T06:15:00-07:00,2018-04-10 13:15:00+00:00,2018-04-10T06:20:00-07:00,2018-04-10 13:20:00+00:00,23069
2018-04-10T06:20:00-07:00,2018-04-10 13:20:00+00:00,2018-04-10T06:25:00-07:00,2018-04-10 13:25:00+00:00,23225
2018-04-10T06:25:00-07:00,2018-04-10 13:25:00+00:00,2018-04-10T06:30:00-07:00,2018-04-10 13:30:00+00:00,23353
2018-04-10T06:30:00-07:00,2018-04-10 13:30:00+00:00,2018-04-10T06:35:00-07:00,2018-04-10 13:35:00+00:00,23427
2018-04-10T06:35:00-07:00,2018-04-10 13:35:00+00:00,2018-04-10T06:40:00-07:00,2018-04-10 13:40:00+00:00,23517
2018-04-10T06:40:00-07:00,2018-04-10 13:40:00+00:00,2018-04-10T06:45:00-07:00,2018-04-10 13:45:00+00:00,23559
2018-04-10T06:45:00-07:00,2018-04-10 13:45:00+00:00,2018-04-10T06:50:00-07:00,2018-04-10 13:50:00+00:00,23587
2018-04-10T06:50:00-07:00,2018-04-10 13:50:00+00:00,2018-04-10T06:55:00-07:00,2018-04-10 13:55:00+00:00,23644
2018-04-10T06:55:00-07:00,2018-04-10 13:55:00+00:00,2018-04-10T07:00:00-07:00,2018-04-10 14:00:00+00:00,23703
2018-04-10T07:00:00-07:00,2018-04-10 14:00:00+00:00,2018-04-10T07:05:00-07:00,2018-04-10 14:05:00+00:00,23793
2018-04-10T07:05:00-07:00,2018-04-10 14:05:00+00:00,2018-04-10T07:10:00-07:00,2018-04-10 14:10:00+00:00,23968
2018-04-10T07:10:00-07:00,2018-04-10 14:10:00+00:00,2018-04-10T07:15:00-07:00,2018-04-10 14:15:00+00:00,24113
2018-04-10T07:15:00-07:00,2018-04-10 14:15:00+00:00,2018-04-10T07:20:00-07:00,2018-04-10 14:20:00+00:00,24178
2018-04-10T07:20:00-07:00,2018-04-10 14:20:00+00:00,2018-04-10T07:25:00-07:00,2018-04-10 14:25:00+00:00,24248
2018-04-10T07:25:00-07:00,2018-04-10 14:25:00+00:00,2018-04-10T07:30:00-07:00,2018-04-10 14:30:00+00:00,24300
2018-04-10T07:30:00-07:00,2018-04-10 14:30:00+00:00,2018-04-10T07:35:00-07:00,2018-04-10 14:35:00+00:00,24297
2018-04-10T07:35:00-07:00,2018-04-10 14:35:00+00:00,2018-04-10T07:40:00-07:00,2018-04-10 14:40:00+00:00,24378
2018-04-10T07:40:00-07:00,2018-04-10 14:40:00+00:00,2018-04-10T07:45:00-07:00,2018-04-10 14:45:00+00:00,24351
2018-04-10T07:45:00-07:00,2018-04-10 14:45:00+00:00,2018-04-10T07:50:00-07:00,2018-04-10 14:50:00+00:00,24321
2018-04-10T07:50:00-07:00,2018-04-10 14:50:00+00:00,2018-04-10T07:55:00-07:00,2018-04-10 14:55:00+00:00,24354
2018-04-10T07:55:00-07:00,2018-04-10 14:55:00+00:00,2018-04-10T08:00:00-07:00,2018-04-10 15:00:00+00:00,24327
2018-04-10T08:00:00-07:00,2018-04-10 15:00:00+00:00,2018-04-10T08:05:00-07:00,2018-04-10 15:05:00+00:00,24255
2018-04-10T08:05:00-07:00,2018-04-10 15:05:00+00:00,2018-04-10T08:10:00-07:00,2018-04-10 15:10:00+00:00,24235
2018-04-10T08:10:00-07:00,2018-04-10 15:10:00+00:00,2018-04-10T08:15:00-07:00,2018-04-10 15:15:00+00:00,24234
2018-04-10T08:15:00-07:00,2018-04-10 15:15:00+00:00,2018-04-10T08:20:00-07:00,2018-04-10 15:20:00+00:00,24183
