interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,location,solar_mw,wind_mw
2021-01-01T00:00:00-08:00,2021-01-01 08:00:00+00:00,2021-01-01T01:00:00-08:00,2021-01-01 09:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,99.27
2021-01-01T01:00:00-08:00,2021-01-01 09:00:00+00:00,2021-01-01T02:00:00-08:00,2021-01-01 10:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,68.52
2021-01-01T02:00:00-08:00,2021-01-01 10:00:00+00:00,2021-01-01T03:00:00-08:00,2021-01-01 11:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,59.47
2021-01-01T03:00:00-08:00,2021-01-01 11:00:00+00:00,2021-01-01T04:00:00-08:00,2021-01-01 12:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,59.21
2021-01-01T04:00:00-08:00,2021-01-01 12:00:00+00:00,2021-01-01T05:00:00-08:00,2021-01-01 13:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,48.41
2021-01-01T05:00:00-08:00,2021-01-01 13:00:00+00:00,2021-01-01T06:00:00-08:00,2021-01-01 14:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,40.97
2021-01-01T06:00:00-08:00,2021-01-01 14:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,51.33
2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,2021-01-01T08:00:00-08:00,2021-01-01 16:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,76.68,50.47
2021-01-01T08:00:00-08:00,2021-01-01 16:00:00+00:00,2021-01-01T09:00:00-08:00,2021-01-01 17:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,552.12,33.47
2021-01-01T09:00:00-08:00,2021-01-01 17:00:00+00:00,2021-01-01T10:00:00-08:00,2021-01-01 18:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,899.9,30.98
2021-01-01T10:00:00-08:00,2021-01-01 18:00:00+00:00,2021-01-01T11:00:00-08:00,2021-01-01 19:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,954.61,27.64
2021-01-01T11:00:00-08:00,2021-01-01 19:00:00+00:00,2021-01-01T12:00:00-08:00,2021-01-01 20:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,886.82,21.25
2021-01-01T12:00:00-08:00,2021-01-01 20:00:00+00:00,2021-01-01T13:00:00-08:00,2021-01-01 21:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,847.18,32.15
2021-01-01T13:00:00-08:00,2021-01-01 21:00:00+00:00,2021-01-01T14:00:00-08:00,2021-01-01 22:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,883.86,50.1
2021-01-01T14:00:00-08:00,2021-01-01 22:00:00+00:00,2021-01-01T15:00:00-08:00,2021-01-01 23:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,832.86,75.25
2021-01-01T15:00:00-08:00,2021-01-01 23:00:00+00:00,2021-01-01T16:00:00-08:00,2021-01-02 00:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,459.69,85.84
2021-01-01T16:00:00-08:00,2021-01-02 00:00:00+00:00,2021-01-01T17:00:00-08:00,2021-01-02 01:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,38.19,86.19
2021-01-01T17:00:00-08:00,2021-01-02 01:00:00+00:00,2021-01-01T18:00:00-08:00,2021-01-02 02:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.03,103.61
2021-01-01T18:00:00-08:00,2021-01-02 02:00:00+00:00,2021-01-01T19:00:00-08:00,2021-01-02 03:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,130.62
2021-01-01T19:00:00-08:00,2021-01-02 03:00:00+00:00,2021-01-01T20:00:00-08:00,2021-01-02 04:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,130.34
2021-01-01T20:00:00-08:00,2021-01-02 04:00:00+00:00,2021-01-01T21:00:00-08:00,2021-01-02 05:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,124.16
2021-01-01T21:00:00-08:00,2021-01-02 05:00:00+00:00,2021-01-01T22:00:00-08:00,2021-01-02 06:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,121.68
2021-01-01T22:00:00-08:00,2021-01-02 06:00:00+00:00,2021-01-01T23:00:00-08:00,2021-01-02 07:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,105.56
2021-01-01T23:00:00-08:00,2021-01-02 07:00:00+00:00,2021-01-02T00:00:00-08:00,2021-01-02 08:00:00+00:00,2020-12-31T07:00:00-08:00,2020-12-31 15:00:00+00:00,NP15,0.0,94.74
2021-01-02T00:00:00-08:00,2021-01-02 08:00:00+00:00,2021-01-02T01:00:00-08:00,2021-01-02 09:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,0.0,84.99
2021-01-02T01:00:00-08:00,2021-01-02 09:00:00+00:00,2021-01-02T02:00:00-08:00,2021-01-02 10:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,0.0,80.25
2021-01-02T02:00:00-08:00,2021-01-02 10:00:00+00:00,2021-01-02T03:00:00-08:00,2021-01-02 11:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,0.0,67.99
2021-01-02T03:00:00-08:00,2021-01-02 11:00:00+00:00,2021-01-02T04:00:00-08:00,2021-01-02 12:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,0.0,65.15
2021-01-02T04:00:00-08:00,2021-01-02 12:00:00+00:00,2021-01-02T05:00:00-08:00,2021-01-02 13:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,0.0,62.87
2021-01-02T05:00:00-08:00,2021-01-02 13:00:00+00:00,2021-01-02T06:00:00-08:00,2021-01-02 14:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,0.0,59.45
2021-01-02T06:00:00-08:00,2021-01-02 14:00:00+00:00,2021-01-02T07:00:00-08:00,2021-01-02 15:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,0.0,57.37
2021-01-02T07:00:00-08:00,2021-01-02 15:00:00+00:00,2021-01-02T08:00:00-08:00,2021-01-02 16:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,53.59,55.88
2021-01-02T08:00:00-08:00,2021-01-02 16:00:00+00:00,2021-01-02T09:00:00-08:00,2021-01-02 17:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,405.26,56.5
2021-01-02T09:00:00-08:00,2021-01-02 17:00:00+00:00,2021-01-02T10:00:00-08:00,2021-01-02 18:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,664.38,56.46
2021-01-02T10:00:00-08:00,2021-01-02 18:00:00+00:00,2021-01-02T11:00:00-08:00,2021-01-02 19:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,732.33,57.63
2021-01-02T11:00:00-08:00,2021-01-02 19:00:00+00:00,2021-01-02T12:00:00-08:00,2021-01-02 20:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,765.67,59.53
2021-01-02T12:00:00-08:00,2021-01-02 20:00:00+00:00,2021-01-02T13:00:00-08:00,2021-01-02 21:00:00+00:00,2021-01-01T07:00:00-08:00,2021-01-01 15:00:00+00:00,NP15,785.42,54.88
